time,PET,daily_rain,flow
2001-01-01,4.48563247011952,3.3854999840259588,758.8914996
2001-01-02,4.48563247011952,0.0,758.8914996
2001-01-03,4.48563247011952,0.0,758.8914996
2001-01-04,4.48563247011952,0.0,758.8914996
2001-01-05,4.48563247011952,0.0,767.3865537
2001-01-06,4.48563247011952,0.0,809.8618242
2001-01-07,4.48563247011952,0.766399989370257,835.3469865
2001-01-08,4.48563247011952,0.0,838.1786712
2001-01-09,1.57823705179283,0.0,829.6836171
2001-01-10,1.57823705179283,8.502399979159236,733.4063373
2001-01-11,1.57823705179283,21.973800211213497,665.4459045
2001-01-12,1.57823705179283,0.0,668.2775892
2001-01-13,1.57823705179283,0.0083999997004866,586.1587329
2001-01-14,1.57823705179283,1.245599980204133,467.2279755
2001-01-15,1.57823705179283,0.0,444.5744979
2001-01-16,1.57823705179283,24.70260011378555,444.5744979
2001-01-17,1.69235557768924,4.038599991821685,470.0596602
2001-01-18,1.69235557768924,14.042700066231186,504.0398766
2001-01-19,1.69235557768924,5.31259994581342,787.2083466
2001-01-20,1.69235557768924,0.0,985.4262756
2001-01-21,1.69235557768924,0.144600003957748,988.2579603
2001-01-22,1.69235557768924,0.0,968.4361674
2001-01-23,1.69235557768924,0.0,886.3173111
2001-01-24,1.69235557768924,0.165000006556511,858.0004641
2001-01-25,2.18493525896414,0.0,855.1687794
2001-01-26,2.18493525896414,1.04800000891555,849.50541
2001-01-27,2.18493525896414,2.354700028663505,795.7034007
2001-01-28,2.18493525896414,0.0,773.0499231
2001-01-29,2.18493525896414,17.85200008936226,764.554869
2001-01-30,2.18493525896414,0.0,713.5845444
2001-01-31,2.18493525896414,0.0,651.287481
2001-02-01,2.18493525896414,0.0,481.386399
2001-02-02,2.46713147410359,0.0,356.7922722
2001-02-03,2.46713147410359,0.0,325.6437405
2001-02-04,2.46713147410359,0.0,322.8120558
2001-02-05,2.46713147410359,0.0,319.9803711
2001-02-06,2.46713147410359,0.0,319.9803711
2001-02-07,2.46713147410359,0.0,319.9803711
2001-02-08,2.46713147410359,0.0,319.9803711
2001-02-09,2.46713147410359,3.69979995675385,319.9803711
2001-02-10,0.887674302788845,0.0,305.8219476
2001-02-11,0.887674302788845,0.759199989028275,239.84369409
2001-02-12,0.887674302788845,0.4900000108755193,190.00604337
2001-02-13,0.887674302788845,0.8322000131011005,183.21000009
2001-02-14,0.887674302788845,0.1453000020046602,182.36049468
2001-02-15,0.887674302788845,0.47300000861287145,181.51098927
2001-02-16,0.887674302788845,4.017799993976951,187.45752714
2001-02-17,0.887674302788845,0.0,235.31299857
2001-02-18,2.41840139442231,0.0,311.485317
2001-02-19,2.41840139442231,0.0,353.9605875
2001-02-20,2.41840139442231,0.0,472.8913449
2001-02-21,2.41840139442231,0.0,555.0102012
2001-02-22,2.41840139442231,0.1020000026328489,574.8319941
2001-02-23,2.41840139442231,0.0024000001139938,645.6241116
2001-02-24,2.41840139442231,0.0851999968290329,798.5350854
2001-02-25,2.41840139442231,1.2171999850543176,841.0103559
2001-02-26,3.02216135458167,0.302200004458428,948.6143745
2001-02-27,3.02216135458167,1.3474000173155214,1050.5550237
2001-02-28,3.02216135458167,11.525799887953333,1118.5154565
2001-03-01,3.02216135458167,3.216399947763419,1152.4956729
2001-03-02,3.02216135458167,41.50239949795652,1268.5947456
2001-03-03,3.02216135458167,11.25119987665675,1531.9414227
2001-03-04,3.02216135458167,0.0007999999797903,1693.3474506
2001-03-05,3.02216135458167,0.0,1735.8227211
2001-03-06,3.8824203187251,0.0,1741.4860905
2001-03-07,3.8824203187251,0.0,1741.4860905
2001-03-08,3.8824203187251,4.01019992958754,1727.327667
2001-03-09,3.8824203187251,22.726500014076,1730.1593517
2001-03-10,3.8824203187251,0.0,1741.4860905
2001-03-11,3.8824203187251,4.73839994042646,1710.3375588
2001-03-12,3.8824203187251,14.369999971240789,1718.8326129
2001-03-13,3.8824203187251,0.0,1738.6544058
2001-03-14,4.11904880478088,29.637099329382142,1732.9910364
2001-03-15,4.11904880478088,0.263999999908265,1781.1296763
2001-03-16,4.11904880478088,0.0,1781.1296763
2001-03-17,4.11904880478088,0.0,1747.1494599
2001-03-18,4.11904880478088,0.0,1730.1593517
2001-03-19,4.11904880478088,0.0,1667.8622883
2001-03-20,4.11904880478088,0.0,1597.0701708
2001-03-21,4.11904880478088,0.0,1523.4463686
2001-03-22,3.3097609561753,0.0,1441.3275123
2001-03-23,3.3097609561753,0.0,1370.5353948
2001-03-24,3.3097609561753,0.178200006484985,1339.3868631
2001-03-25,3.3097609561753,1.3076000077999201,1330.891809
2001-03-26,3.3097609561753,0.0,1268.5947456
2001-03-27,3.3097609561753,29.09619919210669,1180.8125199
2001-03-28,3.3097609561753,20.75959969378896,1093.0302942
2001-03-29,3.3097609561753,2.7983999949647127,1081.7035554
2001-03-30,4.15535358565737,0.0003999999898951,1067.5451319
2001-03-31,4.15535358565737,0.0,1059.0500778
2001-04-01,4.15535358565737,0.0370999984443188,1050.5550237
2001-04-02,4.15535358565737,0.0,1027.9015461
2001-04-03,4.15535358565737,0.213599998503923,1019.406492
2001-04-04,4.15535358565737,0.0,996.7530144
2001-04-05,4.15535358565737,0.0,951.4460592
2001-04-06,4.15535358565737,0.0,863.6638335
2001-04-07,5.55420816733068,0.0,829.6836171
2001-04-08,5.55420816733068,0.0,824.0202477
2001-04-09,5.55420816733068,0.0,824.0202477
2001-04-10,5.55420816733068,0.0,821.188563
2001-04-11,5.55420816733068,3.629199958289977,784.3766619
2001-04-12,5.55420816733068,0.0,770.2182384
