year,month,day,flow,PET,rain1,rain2,rain3,rain4
2001,1,1,758.8914996,4.48563247011952,0,0,0,0
2001,1,2,758.8914996,4.48563247011952,0,0,0,0
2001,1,3,758.8914996,4.48563247011952,0,0,0,0
2001,1,4,758.8914996,4.48563247011952,0,0,0,0
2001,1,5,767.3865537,4.48563247011952,0,0,0,0
2001,1,6,809.8618242,4.48563247011952,0,0,0,0
2001,1,7,835.3469865,4.48563247011952,0,0,0,0
2001,1,8,838.1786712,4.48563247011952,0,0,0,0
2001,1,9,829.6836171,1.57823705179283,0,0,0,0
2001,1,10,733.4063373,1.57823705179283,0,0,0,0
2001,1,11,665.4459045,1.57823705179283,0,0,0,0
2001,1,12,668.2775892,1.57823705179283,0,0,0,0
2001,1,13,586.1587329,1.57823705179283,0,0,0,0
2001,1,14,467.2279755,1.57823705179283,0,0,0,0
2001,1,15,444.5744979,1.57823705179283,0,0,0,0
2001,1,16,444.5744979,1.57823705179283,7.96651554107666,7.96651554107666,7.96651554107666,7.96651554107666
2001,1,17,470.0596602,1.69235557768924,0,0,0,0
2001,1,18,504.0398766,1.69235557768924,15.1523110071818,15.1523110071818,15.1523110071818,15.1523110071818
2001,1,19,787.2083466,1.69235557768924,12.1218490600586,12.1218490600586,12.1218490600586,12.1218490600586
2001,1,20,985.4262756,1.69235557768924,0,0,0,0
2001,1,21,988.2579603,1.69235557768924,0,0,0,0
2001,1,22,968.4361674,1.69235557768924,0,0,0,0
2001,1,23,886.3173111,1.69235557768924,0,0,0,0
2001,1,24,858.0004641,1.69235557768924,0,0,0,0
2001,1,25,855.1687794,2.18493525896414,0,0,0,0
2001,1,26,849.50541,2.18493525896414,0,0,0,0
2001,1,27,795.7034007,2.18493525896414,0,0,0,0
2001,1,28,773.0499231,2.18493525896414,0,0,0,0
2001,1,29,764.554869,2.18493525896414,0,0,0,0
2001,1,30,713.5845444,2.18493525896414,0,0,0,0
2001,1,31,651.287481,2.18493525896414,0,0,0,0
2001,2,1,481.386399,2.18493525896414,0,0,0,0
2001,2,2,356.7922722,2.46713147410359,3.00621028741201,3.00621028741201,3.00621028741201,3.00621028741201
2001,2,3,325.6437405,2.46713147410359,0,0,0,0
2001,2,4,322.8120558,2.46713147410359,0,0,0,0
2001,2,5,319.9803711,2.46713147410359,0,0,0,0
2001,2,6,319.9803711,2.46713147410359,0,0,0,0
2001,2,7,319.9803711,2.46713147410359,0,0,0,0
2001,2,8,319.9803711,2.46713147410359,0,0,0,0
2001,2,9,319.9803711,2.46713147410359,0,0,0,0
2001,2,10,305.8219476,0.887674302788845,0,0,0,0
2001,2,11,239.84369409,0.887674302788845,0,0,0,0
2001,2,12,190.00604337,0.887674302788845,0,0,0,0
2001,2,13,183.21000009,0.887674302788845,4.46509496370951,4.46509496370951,4.46509496370951,4.46509496370951
2001,2,14,182.36049468,0.887674302788845,1.06957642237345,1.06957642237345,1.06957642237345,1.06957642237345
2001,2,15,181.51098927,0.887674302788845,0,0,0,0
2001,2,16,187.45752714,0.887674302788845,0,0,0,0
2001,2,17,235.31299857,0.887674302788845,0,0,0,0
2001,2,18,311.485317,2.41840139442231,0,0,0,0
2001,2,19,353.9605875,2.41840139442231,0,0,0,0
2001,2,20,472.8913449,2.41840139442231,0,0,0,0
2001,2,21,555.0102012,2.41840139442231,0,0,0,0
2001,2,22,574.8319941,2.41840139442231,0,0,0,0
2001,2,23,645.6241116,2.41840139442231,0,0,0,0
2001,2,24,798.5350854,2.41840139442231,0,0,0,0
2001,2,25,841.0103559,2.41840139442231,0,0,0,0
2001,2,26,948.6143745,3.02216135458167,0,0,0,0
2001,2,27,1050.5550237,3.02216135458167,0,0,0,0
