year,month,day,flow,PET,rain1,rain2,rain3,rain4
2001,1,1,0.453069552,0.3803391959799,2.65300001949072,3.0561000816524,0,0
2001,1,2,0.311485317,0.3803391959799,0,0,0,0
2001,1,3,0.311485317,0.3803391959799,0,0,0,0
2001,1,4,0.311485317,0.3803391959799,0,0,0,0
2001,1,5,0.28316847,0.3803391959799,0,0,0,0
2001,1,6,0.28316847,0.3803391959799,0,0,0,0
2001,1,7,0.311485317,0.3803391959799,0,0,1.3682000041008,1.95159995555878
2001,1,8,0.28316847,0.3803391959799,0,0,0,0
2001,1,9,0.2690100465,0.0748115577889447,0,0,0,0
2001,1,10,2.718417312,0.0748115577889447,0,0,1.79480002075434,9.2432000041008
2001,1,11,4.842180837,0.0748115577889447,25.0931997299194,0.0931999981403351,0.0183999993605539,0.0177999995648861
2001,1,12,0.679604328,0.0748115577889447,0,0,0,0
2001,1,13,0.453069552,0.0748115577889447,0,0,0,0.985000004991889
2001,1,14,0.622970634,0.0748115577889447,1.09840003075078,0.124800000339746,0,0
2001,1,15,0.396435858,0.0748115577889447,0,0,0,0
2001,1,16,3.39802164,0.0748115577889447,0.0412000007927418,1.28479994833469,16.1655999422073,7.8643998876214
2001,1,17,1.897228749,0.0305276381909548,0.112199999392033,0.00620000017806888,0.826399981277063,3.6644000581
2001,1,18,2.208714066,0.0305276381909548,2.09300004690886,0.785000026226044,4.80899998545647,0.0399999991059303
2001,1,19,3.001585782,0.0305276381909548,6.32639995217323,3.25120005011559,0,0
2001,1,20,0.934455951,0.0305276381909548,0,0,0,0
2001,1,21,0.538020093,0.0305276381909548,0,0,0,0.814600004348904
2001,1,22,0.453069552,0.0305276381909548,0,0.00139999995008111,0,0
2001,1,23,0.396435858,0.0305276381909548,0,0,0,0
2001,1,24,0.509703246,0.0305276381909548,0,1.61359998956323,0.12720000743866,0
2001,1,25,0.424752705,0.15,0,0,0,0
2001,1,26,0.396435858,0.15,0,0,0,1.39600000530481
2001,1,27,0.368119011,0.15,0.129199996590614,0,0,0
2001,1,28,0.368119011,0.15,0,0,0,0
2001,1,29,1.472476044,0.15,0.0142000000923872,11.6839999184012,5.06560007110238,0.00960000045597553
2001,1,30,0.594653787,0.15,0,0,0,0
2001,1,31,0.396435858,0.15,0,0,0,0
2001,2,1,0.339802164,0.15,0,0,0.00359999993816018,0
2001,2,2,0.339802164,0.168278894472362,0.0359999984502792,0,0,0
2001,2,3,0.311485317,0.168278894472362,0,0,0,0
2001,2,4,0.311485317,0.168278894472362,0,0,0,0
2001,2,5,0.311485317,0.168278894472362,0,0,0,0
2001,2,6,0.28316847,0.168278894472362,0,0,0,0
2001,2,7,0.28316847,0.168278894472362,0,0,0,0
2001,2,8,0.28316847,0.168278894472362,0,0,0,0
2001,2,9,0.424752705,0.168278894472362,0.0887999981641769,0,1.98339995741844,0.842800006270409
2001,2,10,0.311485317,0.0980527638190955,0,0,0,0
2001,2,11,0.2718417312,0.0980527638190955,0,0,0,0.121799997985363
2001,2,12,0.28316847,0.0980527638190955,0,0,0,1.6976000033319
2001,2,13,0.28316847,0.0980527638190955,0.00970000028610229,0,0.0924000013619661,0.0015999999595806
2001,2,14,0.339802164,0.0980527638190955,0,0,0,0
2001,2,15,0.339802164,0.0980527638190955,0,0,0.0368999987840652,0.396800003945827
2001,2,16,0.339802164,0.0980527638190955,0,0.0199999995529652,1.84360000304878,1.27699996903539
2001,2,17,0.311485317,0.0980527638190955,0,0,0,0
2001,2,18,0.311485317,0.11608040201005,0,0,0,0
2001,2,19,0.311485317,0.11608040201005,0,0,0,0
2001,2,20,0.28316847,0.11608040201005,0,0,0,0
2001,2,21,0.28316847,0.11608040201005,0,0,0,0.102600000798702
2001,2,22,0.28316847,0.11608040201005,0,0.152000002563,0,0
2001,2,23,0.28316847,0.11608040201005,0,0,0,0
2001,2,24,0.311485317,0.11608040201005,0,0,0,0.116400003433228
2001,2,25,0.396435858,0.11608040201005,0.939600000390783,0,0,0
2001,2,26,0.311485317,0.178266331658291,0,0,0.497000003233552,1.5115999430418
2001,2,27,0.311485317,0.178266331658291,0,0.207599997520447,0.119199998676777,0
2001,2,28,0.28316847,0.178266331658291,0,1.99000000953674,1.48240002430975,0.0896000005304813
2001,3,1,0.481386399,0.178266331658291,0.337999999523163,0,0,0.976599985267967
2001,3,2,3.058219476,0.178266331658291,1.97440001368523,21.0427996702492,1.93440003320575,7.85719999298453
2001,3,3,2.718417312,0.178266331658291,1.51659999042749,3.52280004322529,5.96279997192323,0.47719999961555
2001,3,4,0.877822257,0.178266331658291,0,0.0020000000949949,0,0
2001,3,5,0.453069552,0.178266331658291,0,0,0,0
2001,3,6,0.453069552,0.240891959798995,0,0,0,0
2001,3,7,0.311485317,0.240891959798995,0,0,0,0
2001,3,8,1.104357033,0.240891959798995,0,0,0,5.91420023143291
2001,3,9,2.26534776,0.240891959798995,17.6948996782303,0.0120000001043081,0,0
2001,3,10,0.792871716,0.240891959798995,0,0,0,0
2001,3,11,0.481386399,0.240891959798995,0,0,0,5.58660003915429
2001,3,12,0.679604328,0.240891959798995,0,0.0511999987065792,4.3239998742938,0.263999998569489
2001,3,13,0.396435858,0.240891959798995,0,0,0,0
2001,3,14,2.944952088,0.252701005025126,0,0.0152000001398847,0.554400002583861,36.1149987578392
2001,3,15,2.803367853,0.252701005025126,0.307599991559982,0,0.00879999995231628,0
2001,3,16,0.538020093,0.252701005025126,0,0,0,0
2001,3,17,0.368119011,0.252701005025126,0,0,0,0
2001,3,18,0.311485317,0.252701005025126,0,0,0,0
